id,Rep,FID_1,Yield,Duration,Blue,Green,Red,Redage,NIR,ndvi_inp,arvi_inp,MCARI,MCARI1,MCARI2,LAI,EVI
71,2,5,5.148806,1,0.035584338,0.076190092,0.042394727,0.150765046,0.383425027,0.800879471,0.772530335,-0.145021262,0.5438044,-161.8037616,4.854536946,0.621904586
71,1,9,5.329083,1,0.03503369,0.078389257,0.04221799,0.155594178,0.3882339,0.803843397,0.774231236,-0.15122931,0.554690086,-27.10061564,4.875219221,0.627390898
73,2,4,3.974745,1,0.03228862,0.075256914,0.038492311,0.147996783,0.407751858,0.827483188,0.802425847,-0.138319149,0.589086529,-4.907923497,5.040177683,0.66102522
73,3,15,4.346002,1,0.028176337,0.074655514,0.033040615,0.152816825,0.414946139,0.852492894,0.832594428,-0.169031554,0.614863198,-3.062913639,5.214695414,0.681065753
73,1,23,4.55293,1,0.036365382,0.083664253,0.04436373,0.156512231,0.361510813,0.781391908,0.746965418,-0.118353142,0.518000617,6.046227078,4.718552736,0.585162594
75,3,2,3.923171,1,0.027664951,0.065597448,0.033492569,0.134396501,0.395068288,0.84369749,0.81896303,-0.14724366,0.570752648,-4.318011263,5.153321083,0.651001434
75,1,31,4.479295,1,0.040527241,0.085454345,0.050201904,0.1535137,0.352615193,0.750745912,0.709683574,-0.100321111,0.490468943,2.921846951,4.504704974,0.560077585
75,2,37,3.474924,1,0.035909932,0.083032873,0.042847931,0.156112783,0.384706169,0.799567207,0.770831596,-0.119850013,0.554964371,-180.7662189,4.845379967,0.622706545
87,3,116,4.506106,1,0.036598658,0.087567478,0.050511759,0.160341449,0.358007684,0.752708178,0.694981552,-0.11338184,0.500601055,3.264046044,4.518397664,0.554411006
87,1,121,4.539031,1,0.031721327,0.081610084,0.041639682,0.158251986,0.393397927,0.808569737,0.768255555,-0.139370368,0.5688857,-13.34121388,4.908199627,0.625759129
87,2,128,4.681085,1,0.037133049,0.082879849,0.05197964,0.147104084,0.329845235,0.727730466,0.663065093,-0.094308089,0.448330781,1.748171307,4.344103189,0.5095739
90,3,26,4.228585,1,0.031524301,0.071949586,0.037343893,0.142930195,0.375299215,0.819001493,0.793704501,-0.139221524,0.540640545,-19.32600827,4.980992421,0.619905723
90,2,28,4.474494,1,0.033642292,0.077218838,0.039617386,0.151965685,0.397946253,0.818918291,0.794414891,-0.14248354,0.574651835,-7.437573627,4.980411837,0.64758227
90,1,41,4.238333,1,0.039254077,0.084738158,0.048214212,0.158503279,0.384455681,0.777131652,0.741075816,-0.122429637,0.54116507,11.26225545,4.68882467,0.609426602
95,1,86,4.986667,1,0.027697204,0.070148118,0.036516476,0.140529305,0.382984519,0.825905174,0.788309111,-0.141426243,0.551379342,-9.012548572,5.029166304,0.621197981
95,2,119,4.756489,1,0.035788549,0.082598403,0.047396977,0.150497936,0.368866578,0.772274195,0.724191317,-0.103825134,0.517830451,5.724361786,4.654929332,0.580339462
95,3,132,4.770182,1,0.052782156,0.094503701,0.072304353,0.147785127,0.286533445,0.597008155,0.514607508,-0.063529632,0.343120875,0.614172614,3.431922908,0.404360438
